Name,Position,Team,Nationality,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14
C.McDavid,C,EDM,CAN,10.80,32.60,43,0.20,21,57.80,56.90,22.60,41.90,32,44.80,13.40,21.60,
M.Scheifele,C,WPG,CAN,51.70,21.40,1.50,40,15.30,-6.10,34.60,4.50,18.30,0,29.10,13.10,10.20,
L.Raymond,LW/RW,DET,SWE,17.80,15.90,16.90,15.80,12.90,19.60,15.40,18.70,26.40,20.70,15.60,12.50,17.40,
J.McCann,C/LW,SEA,CAN,16.20,47.40,6.80,15.20,30.40,38.30,7.70,20.20,10.60,0,7,0,13.60,
Q.Byfield,C/LW/RW,LA,CAN,13.50,6.80
S.Jarvis,C/RW,CAR,CAN,-1.60,27.70,16.80,21,27,0,0,16.80,21.20,14.10,15.10,21.30,23.50,
O.Ekman-Larsson,D,TOR,SWE,18.90,22.40,5.50,21.40,0.90
R.Josi,D,NSH,SWI,21.70,15.20,25.60,25.60,28.80,33.20,16.70,45.90,2.70,-2,0,2.40,27.70,
R.Dahlin,D,BUF,SWE,10.50,15.40,27.40,29.50,34.30,42.80,37,8.10,2.90,0,2.50,53.40,11.30,
A.Pietrangelo,D,VGK,CAN,25.40,8.60,53.40,22.30,19.30,7.40,2.70,1.50,11.70,13.40,14.70,
C.Hellebuyck,G,WPG,USA,62.60,7.40,28.60,22.00,74.80,16.40,20.20,47,29.80,41.20,36.30,31.60,29.20,
U.Luukkonen,G,BUF,FIN,8.40,24.20,25,7.20,54.60,-3.60,36,13.20,13.20,9,-15.60,
C.Verhaeghe,C/LW,FLA,CAN,2.30,21.30,34.60,20.70,30.60,-3.50,5.10,20.50,14.10,5.20,33.50,-6.30,13.50,
B.Point,C,TB,CAN,12.90,27.80,27.80,26.10,0,0,4.90,8.90,55.70,48.70,28.70,6,7.70,
H.Lindholm,D,BOS,SWE,20.00,15.90,1.90,20.50,19.10,1,0,0
J.Debrusk,LW/RW,VAN,CAN,14.40,4,1.80,11.40,9.80
K.Fiala,LW,LA,SWI,7.90,20.10,4.80,13.80,21.20,2.40,2.70,0,10.10,15.40,18.70,6.70,1.80,
N.Hischier,C,NJ,SWI,26.00,0,47.20,23.90,19.70,9.40,0,41.60,12.10,0,0,23.50,3.30,
T.Demko,G,VAN,USA,0,0,0,0,0,0,0,0,0,-0.60,27.80,11,3.60,
B.Hagel,LW/RW,TB,CAN,,,13.30,29.90,3.50,11.50,30.10,60.60,29.50,35.60,10.70,32.40,6.20,
A.Lundell,C/RW,FLA,FIN,,,,9.70,14.50,7.20,-1.60,3.60
J.Peterka,LW/RW,BUF,GER,,,,,0,18.30,0.30
S.Gostisbehere,D,CAR,USA,,,,,-0.10,32.20,12.20,27.20,34.60,12.20,20.60,0.90,0,
T.Sanheim,D,PHI,CAN,,,,,,,4,15.20,22.30,24.60,4.70,7.90,9.60,
D.Guenther,RW,UTA,CAN,,,,,,,,19.50,13.40,39.30,32,0.50,15.30,
N.Dobson,D,NYI,CAN,,,,,,,,,,29.10,7.80,16.80,18,
G.Vilardi,C/RW,WPG,CAN,,,,,,,,,,,,14.70,29.80,
M.Blackwood,G,COL,CAN,,,,,,,,,,,,,10.20,